Unnamed: 0,non,lin,Mac,sim,lgb,svr,cat,dct, extra,lstm,min_smape,selected_model,Null_points
NX1327,26.21719571,28.40768609,24.53101501,23.43287393,24.9145832,25.74851195,1000,34.62046101,24.91458322,1000,23.43287393,sim,8760
NX1328,29.25697955,32.91444098,29.76717458,29.81203755,31.37372926,31.80236191,1000,40.44417199,31.37372927,1000,29.25697955,non,8760
NX1329,18.69748014,26.20100846,22.51230231,21.58296398,23.28572737,27.65116371,1000,28.9700767,23.28572737,1000,18.69748014,non,8760
NX1330,35.20979117,32.14727316,31.67202694,42.94861653,43.81584788,33.77399023,1000,39.20023399,43.81584788,1000,31.67202694,Mac,8760
NX1331,23.65886457,26.55784999,23.952148,25.55165631,26.71830152,27.16968676,1000,32.1392547,26.71830152,1000,23.65886457,non,8760
NX1332,53.26263626,26.72607617,31.06109858,95.92307272,96.89005932,95.57298026,1000,33.93983135,96.89005937,1000,26.72607617,lin,8760
NX1333,42.02088414,44.73207357,41.46913505,44.82773858,50.07217321,56.25574943,1000,50.38609907,50.0721732,1000,41.46913505,Mac,8760
NX1334,51.65342479,48.42490583,40.70116377,38.58775722,42.84734823,45.13451384,1000,51.13729381,42.84734821,1000,38.58775722,sim,8760
NX1335,49.19131278,56.69779368,46.95102633,44.70973103,54.83616923,57.43097909,1000,56.93421874,54.83616918,1000,44.70973103,sim,8760
NX1336,13.10299382,32.01828824,26.66856808,27.61907932,45.80188488,28.40818122,1000,19.77426506,45.80188472,1000,13.10299382,non,8760
NX1337,49.70862455,47.44643923,40.60846132,38.37584598,41.04101118,45.42249582,1000,48.18253383,41.04101121,1000,38.37584598,sim,8760
NX1338,16.49038477,31.27587679,32.95628394,49.51475431,61.190020999999994,44.96476038,1000,39.56828038,61.19002102,1000,16.49038477,non,8760
NX1339,21.60719815,22.57565318,20.82351707,20.29358311,21.32372554,22.71085653,1000,26.83255078,21.32372554,1000,20.29358311,sim,8760
NX1340,27.08184897,30.82921331,26.50349914,27.25746846,28.68801819,28.89234893,1000,32.63264868,28.68801818,1000,26.50349914,Mac,8760
NX1341,22.00984471,25.28475704,23.28100686,25.24318514,26.55231883,24.94044669,1000,30.52979157,26.55231883,1000,22.00984471,non,8760
NX1342,56.36713001,40.4365532,38.05041361,36.65731904,38.568130700000005,40.80843811,1000,47.82194936,38.56813073,1000,36.65731904,sim,8760
NX1343,26.32065036,24.30135801,22.36231824,21.34264308,22.74694143,32.99141136,1000,30.96503652,22.74694143,1000,21.34264308,sim,8760
NX1344,27.76333448,32.33461739,26.90634291,29.89190807,30.77278026,27.70872119,1000,36.80405854,30.77278024,1000,26.90634291,Mac,8760
NX1345,33.82970299,40.75678968,34.01159267,32.63812685,35.11858062,38.82182589,1000,44.10322224,35.11858062,1000,32.63812685,sim,8760
NX1346,41.86201401,40.27225841,33.68037926,31.67498828,34.64611125,37.42002031,1000,44.65213272,34.64611122,1000,31.67498828,sim,8760
NX1347,33.32802682,41.09279873,33.51912116,32.62406598,34.42621615,36.70856414,1000,44.04321505,34.42621616,1000,32.62406598,sim,8760
NX1348,42.47446941,54.51020277,41.09303541,40.39620149,45.13870788,47.88526931,1000,51.80692383,45.13870789,1000,40.39620149,sim,8760
NX1349,19.00042099,26.214810600000003,22.84244454,22.36003665,23.98649958,23.79913618,1000,29.25870041,23.98649959,1000,19.00042099,non,8760
NX1350,47.91142651,34.57782919,17.46852788,73.94296396,103.84159090000001,106.848481,1000,14.76594348,103.84159090000001,1000,14.76594348,dct,8760
NX1351,24.65497715,19.49203275,20.20295944,17.83422005,20.54194164,19.73411608,1000,22.87313661,20.54194168,1000,17.83422005,sim,8760
NX1352,25.7000115,30.5026561,24.81794897,23.23604769,25.63016314,32.29335704,1000,34.41185251,25.63016317,1000,23.23604769,sim,8760
NX1353,51.87146012,50.19740314,45.93543069,42.18485315,47.30553654,52.29139079,1000,60.49681536,47.30553651,1000,42.18485315,sim,8760
NX1354,1.546510294,1.857207565,1.550925371,1.605608845,1.8867224759999999,1.940994044,1000,2.001880005,1.886722519,1000,1.546510294,non,8760
NX1355,30.16318864,31.79405371,29.76584644,30.41285825,32.18111451,32.04905069,1000,38.75548272,32.1811145,1000,29.76584644,Mac,8760
NX1356,44.960024600000004,45.50373912,36.85181377,37.08162573,40.17567997,43.68969144,1000,52.10934999,40.17567994,1000,36.85181377,Mac,8760
NX1357,67.757787,55.62580937,43.24100279,40.87273163,50.6723098,43.35584537,1000,55.670676799999995,50.6723099,1000,40.87273163,sim,8760
NX1358,21.02202463,22.69170269,20.6537938,19.83806854,20.66244644,21.93650248,1000,27.68741891,20.66244643,1000,19.83806854,sim,8760
NX1359,42.61255309,47.66456958,42.75090555,40.41837532,44.872893499999996,46.9823033,1000,56.02350101,44.87289349,1000,40.41837532,sim,8760
NX1360,41.82510043,45.68802782,44.23464237,41.86218708,47.0433341,44.28749551,1000,55.95809724,47.04333405,1000,41.82510043,non,8760
NX1361,31.95173286,38.35683977,31.51894925,31.08425485,32.81564872,35.56911465,1000,41.44417597,32.81564871,1000,31.08425485,sim,8760
NX1362,42.51669864,51.74682811,40.53887052,38.70501829,41.89506575,41.97665003,1000,56.24441372,41.89506575,1000,38.70501829,sim,8760
NX1363,18.36473408,24.56366998,20.21645874,20.23264636,21.07672043,21.65515834,1000,31.32448213,21.07672044,1000,18.36473408,non,8760
NX1364,23.42534299,23.39410442,20.93291445,20.57162794,21.82370549,22.00227873,1000,28.14339668,21.82370548,1000,20.57162794,sim,8760
NX1365,25.93641281,26.89243897,23.90340032,22.9355504,26.26007412,26.14133607,1000,30.82226139,26.260074100000004,1000,22.9355504,sim,8760
NX1366,57.45167602,46.6875527,42.72599482,47.45256279,51.51216468,63.40280786,1000,53.718751899999994,51.51216469,1000,42.72599482,Mac,8760
NX1367,34.76709408,34.18586553,30.75922491,28.84216299,31.32797031,34.88747851,1000,40.38778687,31.32797031,1000,28.84216299,sim,8760
NX1368,38.99597257,34.48075604,27.12996094,33.13349678,33.79620221,30.46644591,1000,35.73988757,33.7962022,1000,27.12996094,Mac,8760
NX1369,20.31544695,14.753252300000002,10.75560741,13.88455556,15.67712565,14.92762696,1000,14.24329363,15.6771256,1000,10.75560741,Mac,8760
NX1370,29.48992734,35.32463149,28.78414722,32.71683704,34.93423625,37.20334733,1000,35.64677924,34.93423625,1000,28.78414722,Mac,8760
